RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,Department,VisitReason
625ee850-a323-4af9-8c69-bb433b8f28aa,Luis,Jordan,Male,1956-02-24,610-09-3854,10413,Intensive Care Unit,Villain Encounter Trauma
2dfcf412-65cf-4bf0-99b0-67fafdae2ab2,Clint,Rhodes,Male,2005-07-26,084-54-9563,10578,Mutation Specialist Unit,Flight Control Issue
1fe79791-884e-4780-b8ca-0aac2c84b929,Jessica,Dillon,Female,1971-06-01,272-51-2145,10687,Super Powers Rehabilitation,Routine Super Physical
88f5c9a4-e41b-4ce3-aa44-b92fcf228be4,Stephen,Khan,Male,1950-11-02,470-80-9225,10102,Intensive Care Unit,Battle Injury
6d41c59b-2ba3-4c83-b449-895a68381325,Luke,Lang,Female,1961-11-19,358-09-4003,10378,Super Powers Rehabilitation,Alien Parasite Removal
f2f282d2-ddbf-412d-8163-01f55050ab08,Nick,Lewis,Female,2004-11-16,828-84-8667,10008,Super Powers Rehabilitation,Cosmic Ray Exposure
227c720a-1b03-4305-a4f1-fac1ef3259c2,Logan,Maximoff,Male,1959-08-09,762-71-2547,10278,Super Powers Rehabilitation,Villain Encounter Trauma
71137704-a136-4526-a6a6-f6648024fedc,Jessica,Grimm,Female,1968-04-07,705-82-4326,10517,Alien Biology Department,Flight Control Issue
99c05f0b-f292-4598-b269-002e218e0c75,Natasha,Queen,Female,1974-10-28,046-01-5465,10789,Trauma Center,Flight Control Issue
65f6a618-2958-4098-bcf8-99064863ad24,Ororo,Masters,Female,1999-06-30,724-55-9190,10009,Intensive Care Unit,Cosmic Ray Exposure
882e0d1a-0acf-4ec9-93cd-7059531f536e,Reed,Grey,Male,1983-02-15,597-71-2427,10440,Trauma Center,Power Malfunction
4f6950cb-7792-4d0f-8364-e64762289b8d,Shuri,Mantis,Male,1982-02-06,216-88-4089,10682,Intensive Care Unit,Telepathy Headache
8dd9e455-eb96-44fd-af9f-dfe19a322d4b,Nakia,Foster,Female,2005-09-06,769-20-3879,10885,Trauma Center,Alien Parasite Removal
e30f431a-2293-4b77-8721-f46dae79f96f,Frigga,Parker,Male,1979-10-21,803-53-4066,10273,Trauma Center,Cosmic Ray Exposure
031021cb-3a97-42c0-a028-d689a1eb6456,Thanos,Stark,Female,1969-12-15,205-59-5729,10312,Surgery Department,Strength Enhancement Surgery
ffa6f56d-467a-4ad2-a591-6fdd8d2da99d,Peter,Connors,Male,1985-09-30,337-36-1138,10990,Super Powers Rehabilitation,Telepathy Headache
c1203fa1-3b12-477e-a5e6-200f127b26b5,Norman,Luis,Female,1998-02-08,340-04-1890,10898,Super Powers Rehabilitation,Alien Parasite Removal
87fd648f-3a40-4a8f-8f7e-a0566aae481e,Rhodey,Maximoff,Male,1959-09-23,611-56-5664,10746,Mutation Specialist Unit,Laser Vision Calibration
34daad87-1012-45df-9d44-4bfe1c6b671a,MJ,Luis,Male,1984-07-23,591-25-4174,10045,Cosmic Ray Treatment Center,Power Malfunction
9fcfcb96-14ca-45b5-bc25-6c431eccb652,Dave,Hillman,Male,1982-09-04,442-09-5410,10638,Mutation Specialist Unit,Cosmic Ray Exposure
53d65f46-15af-4fa9-a2df-90c41fc41668,Franklin,T'Challa,Female,1986-08-22,335-52-4845,10567,Trauma Center,Strength Enhancement Surgery
f9bc2b17-f16b-4322-9dbe-e6dd35984b27,Heimdall,Dillon,Female,1965-08-12,631-73-4931,10415,Emergency Department,Flight Control Issue
0dd743a2-95d7-4d5e-a388-d81b79963559,Sam,Jones,Female,2002-01-12,622-84-5280,10476,Alien Biology Department,Routine Super Physical
5924c42a-1b6d-40cb-89c3-de3966bd9f48,Eddie,Cage,Female,1965-03-23,676-11-4650,10527,Mutation Specialist Unit,Cosmic Ray Exposure
25527e1b-1c51-4aa0-ac6f-c26deb3edcbd,Kamala,Castle,Female,1970-02-26,827-26-2415,10025,Emergency Department,Strength Enhancement Surgery
07adeddb-024e-438a-8aea-2be32a4294cf,Howard,Thompson,Male,1990-11-10,425-81-9432,10199,Cosmic Ray Treatment Center,Routine Super Physical
4651b536-6739-4ee8-bfc9-88fa5eb9e8ff,Odin,Barton,Male,1950-07-01,770-99-1747,10797,Cosmic Ray Treatment Center,Strength Enhancement Surgery
9e792fe3-6f0b-4233-a0bf-083b332f8fe7,Hank,Khan,Female,1954-07-04,571-32-1989,10467,Trauma Center,Routine Super Physical
7b2f1632-0c6b-4235-81fe-7ff70c6d5b5d,Max,Kurt,Female,1989-09-15,628-93-8271,10436,Alien Biology Department,Alien Parasite Removal
2fe306ae-1712-428e-ac65-cc16e0ae52af,Wyatt,Stark,Female,1973-04-03,771-32-4544,10784,Alien Biology Department,Strength Enhancement Surgery
95a0cffa-84f5-49cf-ae6f-f14eaa5dabd2,Rhodey,Fury,Male,1975-08-20,241-35-5503,10327,Intensive Care Unit,Alien Parasite Removal
a40284cb-10e2-4ccc-8f2f-699a145ba28f,Jean,Murdock,Female,1963-09-17,725-28-1053,10424,Cosmic Ray Treatment Center,Telepathy Headache
42c5ad21-97c7-4f03-9a32-fe1b1d6a8d3b,Darcy,Carter,Female,1955-08-03,212-54-6382,10926,Emergency Department,Villain Encounter Trauma
a4ae5a98-e667-431d-8a58-7131a41612ae,Thanos,Pym,Male,1981-07-23,306-97-6390,10873,Cosmic Ray Treatment Center,Battle Injury
daa8117e-7814-4118-ad8f-a4c5a7503402,Wyatt,Masters,Male,1993-10-20,225-35-7141,10497,Emergency Department,Laser Vision Calibration
9fa3be23-aa02-46c4-86e0-f3bc9226e2f8,Rocket,Dillon,Female,1964-10-22,862-60-2092,10637,Emergency Department,Laser Vision Calibration
e6a56ec0-6764-49de-a92b-8a5ec14dcbc3,May,Potts,Male,1957-07-13,659-55-2224,10887,Alien Biology Department,Alien Parasite Removal
23987a93-7843-44d5-a646-799494ab0f4f,Natasha,Maximoff,Female,1979-05-15,217-59-5356,10345,Cosmic Ray Treatment Center,Flight Control Issue
29975f43-1689-47da-8181-9705f3a42f3d,Kamala,Heimdall,Female,1957-05-07,482-03-8838,10053,Mutation Specialist Unit,Strength Enhancement Surgery
3495ec07-f63e-4d68-8b82-ba180daba6ee,Otto,Banner,Male,1952-10-13,254-26-0334,10636,Trauma Center,Strength Enhancement Surgery
f39302d1-3af6-45b7-b804-8473d7ca0f3a,Wade,Stark,Male,2000-08-06,224-60-4199,10785,Mutation Specialist Unit,Alien Parasite Removal
db7407b4-ddf9-4acf-8cf5-dbf105087498,MJ,Watson,Male,1964-09-10,319-14-9482,10026,Super Powers Rehabilitation,Villain Encounter Trauma
f55f510d-caf5-4304-bb28-7e55fd9382e5,Eddie,Titan,Female,1967-10-17,078-76-3979,10104,Super Powers Rehabilitation,Villain Encounter Trauma
bd2915b5-e26a-4fad-b457-d22ab331c045,Tyesha,Gordon,Male,1981-02-24,546-55-6072,10070,Mutation Specialist Unit,Power Malfunction
f66612cd-d5a3-415c-86f1-e673ff755f8f,Heimdall,VanDyne,Male,1988-11-22,371-82-7533,10724,Trauma Center,Laser Vision Calibration
e034b2d4-0787-4275-9753-0c7aad5d6cc7,Hank,Richards,Female,2005-04-04,829-69-7922,10476,Cosmic Ray Treatment Center,Villain Encounter Trauma
515a5372-2a7c-4c3a-a834-93abec28ff12,Vision,Wong,Male,1957-10-10,286-58-3996,10768,Alien Biology Department,Villain Encounter Trauma
672e7594-339c-480d-a6c4-234bc5a5d9a7,Flash,Dillon,Female,1980-03-07,030-64-5326,10186,Alien Biology Department,Strength Enhancement Surgery
4f823ffb-b09c-477f-ad98-492d7240b13c,Drax,Khan,Female,1980-07-14,287-77-4527,10569,Emergency Department,Battle Injury
bc842eb6-26a4-4ecc-8237-128427d095d6,Carol,Jordan,Male,1986-06-18,501-72-3938,10707,Alien Biology Department,Routine Super Physical
6e7b416a-439f-489d-ac25-bf47250b5a6d,Maria,Khan,Male,1958-05-08,302-29-6626,10708,Surgery Department,Flight Control Issue
188c1a89-a8aa-499e-b92f-f8435f8624d9,Curt,Rhodes,Female,1992-06-16,567-68-5633,10435,Mutation Specialist Unit,Telepathy Headache
088c1eda-8a86-4faf-8ed9-2f7bdd26ac66,Sue,Coulson,Female,1977-07-05,258-30-1977,10738,Surgery Department,Telepathy Headache
5f959611-c21c-4ebe-ad81-94eaf2171a07,Barbara,Wingfoot,Male,1967-03-09,222-95-7934,10283,Super Powers Rehabilitation,Cosmic Ray Exposure
0624d860-4f84-4d80-990b-48932d31a88a,Carol,Barnes,Male,1982-05-18,184-39-0232,10725,Trauma Center,Flight Control Issue
e99a1038-12fa-4f89-88a7-3371d211653f,Steve,Romanoff,Female,1961-04-30,654-97-8043,10105,Emergency Department,Villain Encounter Trauma
c343efa6-bfaa-4a75-8e40-7544f4738ee4,Sam,Stark,Female,1989-07-08,349-24-0842,10258,Alien Biology Department,Cosmic Ray Exposure
7c395c5a-3dda-4d27-8e4a-49094c031547,Bruce,Borson,Female,1956-08-24,591-81-0879,10155,Trauma Center,Villain Encounter Trauma
38ab6a78-ea92-4983-8ec4-4a3202eb3ca1,T'Challa,Jordan,Male,1960-08-17,572-98-6819,10620,Surgery Department,Battle Injury
6e3bfe3c-af1e-422e-8193-69d07c96e823,Thanos,Hill,Female,1976-09-04,882-76-7026,10312,Emergency Department,Villain Encounter Trauma
f523006f-a264-4e50-82f6-e8f1d40019c0,Alicia,Curry,Male,2006-02-12,217-34-1331,10160,Surgery Department,Alien Parasite Removal
bbb0f3d1-582c-4c6b-9efe-4bbce323af7f,Erik,Allen,Male,1950-03-29,419-58-9730,10481,Super Powers Rehabilitation,Power Malfunction
9fd6d08d-493e-4807-ba78-f448d604e013,Matt,Wilson,Female,1990-09-25,073-88-3825,10946,Super Powers Rehabilitation,Villain Encounter Trauma
e29dc358-84c5-4fc2-82cc-1c020a0271f2,Curt,Khan,Male,1988-02-21,118-70-3684,10663,Trauma Center,Flight Control Issue
b7e38443-9000-4d69-b7ab-f012627d2fc6,Scott,Allen,Male,1964-11-19,813-40-9750,10766,Super Powers Rehabilitation,Routine Super Physical
b7d2774e-17f4-4ac0-bee8-51d286397914,Barbara,Carter,Female,1986-02-10,279-65-8848,10505,Alien Biology Department,Cosmic Ray Exposure
1720d5e8-61f3-4cd7-94f6-5a80242aeb8c,Ned,Rogers,Female,1978-12-01,619-33-0424,10093,Surgery Department,Villain Encounter Trauma
10783553-8861-48b4-bbf6-e66b3b425ac2,May,Prince,Female,2001-09-12,042-98-2871,10481,Alien Biology Department,Flight Control Issue
e1396321-91f8-4d2b-bebb-a24ca6e50692,Bobby,Rhodes,Female,2006-12-13,835-63-1495,10481,Mutation Specialist Unit,Laser Vision Calibration
