RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,MedicationType,PrescriptionType
08422980-e0f0-4d1c-8ddd-2ac93e5c184c,Frank,Titan,Female,2001-07-27,303-90-4838,10022,Telepathy Blocker,Chronic Power Management
03e0e514-8521-4812-a09d-3a92dea48f03,Clark,Potts,Male,2004-05-27,765-64-4690,10794,Energy Boost Formula,Acute Power Surge
8352adff-40c7-4136-a43a-5fd778a2ef66,Danny,Osborn,Male,2005-09-14,257-87-2241,10643,Super Serum,Daily Maintenance
a981a590-69ee-438d-b185-06383507dfe3,Shuri,Khan,Female,1952-12-29,594-47-2154,10092,Healing Accelerator,Acute Power Surge
32d8fdde-2c29-4025-aa02-dc272792d278,Wyatt,Heimdall,Male,1968-01-06,136-70-5995,10543,Flight Stabilizer,Chronic Power Management
daef6979-c8ed-44c3-8f36-fad5d3d17b29,Kurt,Maximoff,Female,1976-06-24,766-44-1887,10479,Super Serum,Pre-Mission Prep
77554592-a138-4e8d-8d2c-ae2558dbe801,Kamala,Rand,Female,2000-01-01,375-12-6465,10014,Healing Accelerator,Emergency Use
52bfcb2e-1cc5-4df0-a862-d3c9cf11204a,Phil,Nebula,Female,2002-06-11,391-82-6087,10110,Energy Boost Formula,Experimental Treatment
c364d2a7-d832-4df8-bcc7-490dfcabca58,Peter,Brant,Female,2004-09-25,227-83-1036,10650,Invisibility Serum,Chronic Power Management
4d11dc0e-47e8-4ce6-9ff7-0164ca71f9b8,Otto,Frigga,Male,1962-07-17,047-05-4987,10504,Super Serum,Emergency Use
20187dbc-c854-4ee9-a930-eda989b89012,Frank,Woo,Male,1984-11-13,465-48-8851,10429,Super Vitamin Complex,Pre-Mission Prep
6f5fc726-240b-49ed-afee-27aae27810cb,Heimdall,Octavius,Male,1993-11-25,631-53-4584,10033,Strength Enhancer,Post-Battle Recovery
7c5b43b2-9dd6-498c-8d87-7f66d97f67fc,Nick,Fury,Male,1982-07-16,102-88-6019,10557,Strength Enhancer,Daily Maintenance
c96c7cd8-845b-482b-be71-9c3a6c32097c,Hela,Rhodes,Male,1960-12-16,870-59-1502,10678,Energy Boost Formula,Daily Maintenance
9c557078-9f2f-4637-9d92-4e81e137354b,Natasha,Khan,Female,1971-11-08,129-73-3363,10070,Flight Stabilizer,Post-Battle Recovery
109503aa-8d89-4410-a6fc-384f5043cd14,May,Cage,Male,1979-06-24,794-19-9765,10002,Healing Accelerator,Pre-Mission Prep
69728e7c-c0bc-4d1e-a396-38f38c79bb8b,Wade,Lewis,Female,1965-08-27,113-85-0423,10134,Power Suppressant,Acute Power Surge
d4b0ffd7-50cd-49f8-81cf-d1afb1a92856,Yusuf,Khan,Male,2002-10-30,332-03-2855,10271,Power Suppressant,Pre-Mission Prep
94266e77-9c92-45d4-a310-b5160172ec37,Alicia,Heimdall,Male,1955-09-14,488-58-5932,10525,Super Vitamin Complex,Emergency Use
9e39e4e9-2db9-41eb-b36d-c813e9797fb2,Maria,Lang,Male,2005-03-08,045-94-8544,10308,Invisibility Serum,Daily Maintenance
1f42352e-384f-420f-b636-494e751eaaaa,Thor,Pym,Female,1988-03-30,704-14-8033,10729,Invisibility Serum,Emergency Use
d73ca06c-41a6-4979-b1ff-66fd1b63f8e6,Hal,Wong,Male,1955-11-23,130-36-9591,10561,Strength Enhancer,Preventive Care
34ec2b25-a0be-4edf-9153-17c2736684d0,Ned,Kurt,Female,1990-09-15,518-78-7049,10101,Super Serum,Post-Battle Recovery
9d42d3f9-d83a-4224-8208-b7a98463b0b0,Valkyrie,Hill,Male,1987-02-15,348-59-6533,10425,Super Serum,Acute Power Surge
a8e3925b-4573-4a85-8c08-436cf735e6ec,Sif,Strange,Female,1983-08-01,157-88-7771,10068,Super Serum,Emergency Use
aea1d643-fbd9-4e19-a6e3-b4bfed8342a1,Oliver,Valkyrie,Male,1983-06-07,833-17-9116,10061,Super Vitamin Complex,Acute Power Surge
b1f2636e-6bf5-4d43-ad2d-554d9dfa5cfb,Max,Gordon,Female,1981-09-21,896-86-6930,10888,Power Suppressant,Chronic Power Management
88a44004-8c56-4c7f-9474-fd7691245722,Ned,Udaku,Female,1959-04-18,592-65-3486,10158,Invisibility Serum,Post-Battle Recovery
7f64a89f-d0ea-4bc5-9a2c-e074f0cbdb77,Victor,Gamora,Female,1960-04-22,782-36-9407,10231,Telepathy Blocker,Daily Maintenance
5514e64e-5ba6-4c7b-8569-ddfa18cf2c6d,MJ,Connors,Female,1952-08-06,185-35-5063,10943,Strength Enhancer,Acute Power Surge
b8615e69-28b5-4115-a0d2-4e8eb789d8e5,Bruce,Drake,Male,2000-10-22,675-52-1141,10145,Power Suppressant,Emergency Use
7ee27e8f-017c-4303-b721-4bcd7e08c796,Wyatt,Kurt,Male,1983-10-02,430-59-5586,10161,Strength Enhancer,Chronic Power Management
e34278e9-a6a6-4924-8114-70cb0b87ad66,Franklin,Wong,Male,1954-09-20,160-21-0816,10690,Super Serum,Chronic Power Management
5fcd6ace-ff94-4b70-81a6-1d55549f54a7,Nick,Connors,Female,1993-07-28,622-57-6786,10279,Energy Boost Formula,Emergency Use
6c8b7ded-5b76-4b80-86cf-a23c99e8a256,Gamora,Valkyrie,Male,1975-05-31,696-87-9718,10498,Flight Stabilizer,Chronic Power Management
9a0c762d-7ac2-4095-8d1c-116392090ab9,Steve,Rand,Female,2003-10-08,057-01-3350,10308,Energy Boost Formula,Pre-Mission Prep
65be75fa-6b88-4755-873c-4be3ddbb068c,Iman,Maximoff,Female,1979-06-09,123-01-8150,10764,Telepathy Blocker,Pre-Mission Prep
2eeed249-92ad-4ccb-9545-d633052edfcf,Wade,Titan,Male,1994-11-18,573-86-5803,10073,Telepathy Blocker,Daily Maintenance
658aea19-1509-4303-8d0c-951ba5635885,Valkyrie,Prince,Female,1956-12-26,884-41-9434,10439,Super Vitamin Complex,Preventive Care
ecd5dd20-268b-4a66-892f-0b90ccb74021,Johnny,Osborn,Female,1975-12-22,118-52-0342,10989,Strength Enhancer,Pre-Mission Prep
fd63c043-8b48-49bb-a356-dffccc84db6e,Aamir,Brant,Female,1982-06-19,091-56-1735,10249,Telepathy Blocker,Preventive Care
bb701ae3-f495-4300-b1f8-f0fb4a8328b2,Kurt,Jordan,Female,1977-11-02,765-44-3631,10341,Mutation Stabilizer,Emergency Use
cbb83260-c3d8-47f1-a66c-5616ecccd99f,Luis,Osborn,Male,1997-08-08,523-25-5725,10359,Mutation Stabilizer,Post-Battle Recovery
d2547588-77c4-4d53-b7e8-db83044f14bf,Victor,Summers,Female,1967-09-13,178-78-2505,10778,Super Serum,Pre-Mission Prep
88fdf2e0-1f55-44eb-9cd0-4244d321a03b,Bruno,Stacy,Female,1991-08-16,774-73-9495,10459,Super Vitamin Complex,Acute Power Surge
ef3f82ab-b138-46d1-8c4e-bfa396a35dc3,Gwen,Strange,Male,1989-06-15,070-61-7246,10646,Healing Accelerator,Chronic Power Management
e22fb34f-099e-46dd-a4ad-9bc6ec1b6c6d,May,Odinson,Female,1995-07-08,076-40-7566,10462,Power Suppressant,Daily Maintenance
79083652-a1d8-455f-bc27-f85ea6c84f84,Nebula,Wilson,Male,2007-11-02,886-12-9734,10519,Telepathy Blocker,Experimental Treatment
e7ecb938-6ba1-4d33-a311-59f2ac0313a6,Rhodey,Selvig,Male,1990-05-07,831-74-3085,10329,Super Vitamin Complex,Experimental Treatment
610825c7-0688-44bd-84f9-29e057e17680,Scott,Grey,Male,1990-06-02,106-44-1382,10516,Mutation Stabilizer,Daily Maintenance
519888a5-eb45-4e82-8a9c-2950a9a093d4,Clint,Storm,Female,1989-06-03,537-67-9992,10162,Strength Enhancer,Acute Power Surge
a06b37c2-bcb3-4ced-b9c9-4adaaa71d03e,Sam,Laufeyson,Female,1980-05-10,697-77-0858,10808,Strength Enhancer,Emergency Use
7eb25ca6-9d93-4e24-aa67-1421dda74171,Groot,Curry,Female,1975-06-29,259-93-9875,10894,Mutation Stabilizer,Acute Power Surge
d4e4c87c-0235-4044-b5ed-50bffc1eafbe,Hal,Rhodes,Male,1981-05-20,318-84-6422,10132,Super Vitamin Complex,Emergency Use
5613672c-0bb8-43d6-83e1-e160b823c948,Shuri,Foster,Female,2007-09-24,812-43-2094,10686,Flight Stabilizer,Emergency Use
1f6c9bb5-b39e-4de8-9d70-2e0f05ae8242,Norman,Dillon,Female,1995-08-15,371-03-5941,10316,Mutation Stabilizer,Post-Battle Recovery
15bfe143-ec2e-4b0a-9e05-f7a264348cf2,Rocket,Carrelli,Female,1967-03-24,232-18-2539,10079,Healing Accelerator,Emergency Use
af52f250-32c9-48de-a56d-d4e43cdc2e5f,Scott,Carrelli,Male,1980-03-19,899-99-2148,10611,Telepathy Blocker,Pre-Mission Prep
72756241-e90e-4f3f-9787-6e593d34cb67,Ororo,Drake,Male,1989-04-07,045-53-5969,10692,Energy Boost Formula,Experimental Treatment
7618b47a-f893-475d-9ba1-c4050436a218,Flash,Wilson,Female,1970-12-29,547-31-5071,10988,Invisibility Serum,Post-Battle Recovery
0d834ff1-3fdd-46e8-9217-90ed8fe8c170,Nebula,Brock,Female,1991-06-03,789-37-6257,10514,Flight Stabilizer,Preventive Care
2eee3e4e-76ba-4fe1-ab67-b5eb35b4affa,Ororo,Rambeau,Male,1972-06-06,054-83-7874,10895,Strength Enhancer,Emergency Use
f8ba6b02-bfe9-4f4d-9db3-f392491550e5,Ben,Dave,Male,1975-07-29,086-98-2627,10279,Invisibility Serum,Pre-Mission Prep
d79fd5aa-fce4-49ee-845d-8343d3e89293,Valkyrie,Queen,Male,1990-06-22,358-04-6798,10054,Telepathy Blocker,Acute Power Surge
d91d165e-ce29-4918-87a1-40b7c0f35d56,Frank,Laufeyson,Male,1983-08-21,230-04-5222,10953,Super Serum,Acute Power Surge
85e5058a-2132-413d-a8f3-60b164e58227,Yusuf,Summers,Male,1953-06-09,294-61-2274,10777,Invisibility Serum,Experimental Treatment
9a46c59a-c769-4635-a03f-8869b8d84a9c,Flash,Wayne,Male,1951-09-15,263-28-2450,10561,Super Vitamin Complex,Preventive Care
9cfc2072-5608-46ad-8fb7-f74569423d94,Kara,Bahadir,Female,1971-04-27,309-16-0783,10244,Telepathy Blocker,Experimental Treatment
f94582df-c3da-4b22-8ba2-0ca0245a7309,Bruce,Danvers,Female,2003-07-15,549-03-8444,10588,Energy Boost Formula,Pre-Mission Prep
6efa1424-9743-4611-8184-7fbe50bfe009,Bucky,Sif,Male,2005-02-27,362-31-9350,10426,Mutation Stabilizer,Emergency Use
5082665b-5b0a-4bd9-a4b6-ad935dd47251,Kurt,Mantis,Male,1997-03-12,558-65-8317,10567,Power Suppressant,Preventive Care
b21edf2d-aa21-4ebd-abfa-0d13df6d1002,Howard,Rogers,Female,1983-06-29,260-96-0267,10365,Super Serum,Acute Power Surge
